Book_ID;Author_ID
1266;1
1248;2
1283;3
1279;4
1149;5
965;6
1090;7
772;8
1294;9
941;10
1209;11
1264;12
359;13
1115;11
334;14
1015;15
511;16
881;17
1090;7
597;18
723;19
1119;20
1209;11
1239;21
1080;22
1229;23
1172;24
854;25
1280;26
949;27
1177;28
974;29
1180;30
1298;31
1180;30
920;32
1010;33
977;34
1282;4
492;35
747;36
957;37
1247;29
854;25
1201;38
1154;39
1210;40
1265;41
1119;20
1294;9
1259;42
1183;43
1154;39
948;44
1205;45
534;46
1019;47
1116;48
772;8
1177;28
612;49
732;50
1244;51
1191;52
612;49
1136;14
1250;53
1186;5
619;54
619;54
1232;55
1175;56
492;35
1229;23
1132;57
1224;58
1296;59
1203;60
1011;37
334;14
750;61
801;62
1247;29
1278;63
940;64
940;64
710;65
1094;66
1115;11
789;67
1247;29
1175;68
1069;69
1037;70
1061;71
1280;26
1285;72
602;73
1122;74
1080;22
874;37
1115;11
874;37
1195;75
1294;9
695;52
1045;76
812;77
1156;78
1149;5
977;34
1298;31
765;18
1109;79
862;80
720;81
638;82
1178;83
1215;18
1181;10
1188;37
949;27
1123;51
1245;1
612;49
993;84
638;82
1258;12
1202;1
1014;51
1208;85
1266;1
881;17
1040;86
1011;37
334;14
1214;87
1219;88
1132;57
1227;89
1290;51
948;44
1237;90
848;91
652;39
1272;92
1290;51
1213;93
903;94
638;82
957;37
1278;63
1123;51
1188;37
1283;3
796;95
1203;60
982;14
1239;21
1238;15
1044;1
922;96
1249;3
770;97
1239;21
1267;98
1216;48
1092;99
1220;100
763;101
1062;102
1187;103
966;104
1044;1
638;82
999;105
817;10
1249;3
874;37
1269;106
1109;79
1271;12
1209;11
1026;107
948;44
977;34
860;26
1232;55
1286;108
935;88
1055;109
1258;12
1175;56
1168;110
1160;111
1232;55
1069;69
1237;90
1268;112
727;113
602;73
1019;47
1053;114
796;95
1260;115
1293;116
1159;77
652;39
966;104
1037;70
948;44
1275;117
1254;118
1190;14
1014;51
1026;107
1022;119
1059;120
1213;93
874;37
876;121
1161;87
999;105
982;14
1216;48
781;63
1002;54
511;16
875;122
941;10
1259;42
1271;12
619;54
1105;11
1180;30
1140;123
1196;124
1281;125
1163;54
1253;126
1279;4
1100;127
1043;128
1022;119
974;29
1232;55
1055;109
732;50
711;129
1182;11
977;34
1243;130
940;64
1294;9
1267;98
723;19
1097;131
854;25
781;63
1212;132
1131;133
1014;51
1243;130
985;14
1132;57
1086;51
1170;51
763;101
1186;5
966;104
534;46
1232;55
854;25
982;14
1232;55
1062;102
1115;11
965;6
1205;45
714;134
1190;14
1282;4
1236;135
890;136
1276;7
627;137
1278;63
1241;138
750;61
977;34
1238;15
1232;55
334;14
1264;12
909;128
1069;69
812;77
1099;139
1016;140
862;80
1248;2
1175;56
1217;141
714;134
1016;140
1122;74
1000;142
890;136
1140;123
882;143
1149;5
1093;144
711;129
985;14
1217;141
710;65
1298;31
359;13
1245;1
1191;52
602;73
1259;42
1295;145
1191;52
989;146
1200;128
1093;144
711;129
1011;37
854;25
1010;33
1109;79
1168;110
334;14
1293;116
336;147
1123;51
1180;30
801;62
1089;148
812;77
612;49
966;104
1069;69
1172;24
862;80
1209;11
1014;51
1105;11
1202;1
652;39
875;122
1149;5
1097;131
890;136
727;113
1243;130
1291;149
359;13
1053;114
1269;106
747;36
1278;63
1091;150
1239;21
1267;98
1062;102
957;37
920;32
1097;131
1050;151
1149;5
1212;132
543;152
732;50
889;153
862;80
695;52
1244;51
909;128
1284;154
1100;127
1086;51
1160;111
966;104
817;10
763;101
903;94
1233;12
1257;155
1284;154
1270;156
1210;40
875;122
1100;127
889;153
1186;5
1188;37
1257;155
1246;157
999;105
526;158
796;95
1137;159
881;17
1136;14
