Book_ID;Genre_ID
1;35
1;149
1;248
1;34
1;223
2;193
2;243
2;168
2;203
4;35
4;49
4;40
6;35
6;236
7;35
7;49
7;184
8;193
8;243
8;168
8;203
9;57
9;148
9;180
10;35
10;49
10;74
10;211
13;281
13;171
13;72
15;35
15;49
15;184
16;145
16;49
18;57
18;148
18;165
19;35
19;49
19;192
20;145
20;104
22;35
22;144
24;129
24;116
25;35
25;194
26;255
26;187
26;195
28;106
28;223
29;35
29;104
29;169
29;284
31;35
31;149
31;248
31;223
32;255
32;187
32;195
34;35
34;149
34;248
34;209
35;35
35;20
36;35
36;104
36;169
36;284
39;35
39;49
39;184
42;35
42;49
42;184
43;255
43;187
43;91
44;238
44;223
45;255
45;187
45;42
45;114
48;79
48;60
48;161
50;156
50;196
52;35
52;220
53;35
53;149
53;248
53;254
54;35
54;149
54;248
54;209
55;35
55;100
55;112
56;281
56;171
56;72
58;35
58;100
58;112
59;255
59;187
59;43
59;172
59;45
61;283
61;9
61;223
62;255
62;187
62;43
62;223
63;255
63;187
63;46
63;223
65;206
65;188
65;223
66;35
66;49
66;184
67;255
67;187
67;195
69;35
69;49
69;184
70;35
70;104
70;169
70;284
71;283
71;9
71;223
72;35
72;149
72;248
72;73
73;283
73;9
73;150
75;35
75;100
75;265
76;255
76;187
76;210
77;255
77;187
77;13
77;223
78;35
78;265
79;35
79;104
79;223
83;94
83;262
84;35
84;265
88;255
88;187
88;87
89;35
89;149
89;248
89;67
91;283
91;189
91;176
93;35
93;49
93;184
97;35
97;149
97;248
97;127
98;35
98;100
98;112
99;35
99;49
99;135
102;35
102;149
102;248
102;34
102;223
103;129
103;31
103;71
107;255
107;187
107;231
107;223
111;107
111;136
113;145
113;104
115;35
115;49
115;74
115;211
116;281
116;171
116;72
117;35
117;49
117;123
118;283
118;189
118;176
119;145
119;49
122;110
122;223
124;35
124;149
124;248
124;254
126;35
126;100
126;112
127;35
127;49
127;184
129;35
129;149
129;248
129;73
131;255
131;187
131;223
133;56
133;276
133;68
134;281
134;171
134;72
135;129
135;31
135;71
138;35
138;100
138;226
139;35
139;149
139;248
139;202
139;265
140;145
140;104
142;35
142;100
142;112
145;35
145;149
145;248
145;254
147;255
147;187
147;223
148;129
148;31
148;71
149;35
149;149
149;248
149;67
151;35
151;104
151;223
152;35
152;100
152;112
154;129
154;31
154;71
155;35
155;149
155;248
155;34
155;223
156;241
156;275
156;152
157;35
157;100
157;121
159;35
159;38
159;223
160;145
160;223
161;35
161;149
161;248
161;34
161;223
162;35
162;169
162;284
163;35
163;97
163;254
165;35
165;223
167;35
167;100
167;112
169;35
169;49
169;223
171;255
171;187
171;111
173;35
173;149
173;248
173;223
174;35
174;149
174;248
174;254
175;35
175;49
175;223
178;35
178;97
178;254
179;129
179;104
181;35
181;104
181;169
181;284
182;35
182;149
182;248
182;223
183;35
183;149
183;248
183;34
183;223
185;35
185;149
185;248
185;127
186;272
186;223
188;283
188;27
188;223
190;35
190;117
191;35
191;223
192;35
192;100
192;112
194;35
194;151
194;268
195;35
195;100
195;112
196;283
196;286
198;35
198;149
198;248
198;254
199;145
199;223
202;255
202;187
202;63
206;255
206;187
206;195
207;255
207;187
207;187
207;88
208;35
208;149
208;248
208;34
208;223
209;35
209;100
209;112
213;283
213;9
213;75
215;283
215;9
215;75
216;79
216;223
217;35
217;159
223;35
223;223
225;35
225;100
225;265
226;35
226;100
226;112
228;281
228;171
228;120
228;223
229;255
229;187
229;264
230;35
230;49
230;169
230;284
233;35
233;169
233;284
234;35
234;100
234;192
236;281
236;171
236;72
237;35
237;149
237;248
237;209
239;35
239;169
239;284
242;255
242;187
242;166
242;37
244;35
244;159
245;94
245;223
246;113
246;223
247;35
247;194
248;255
248;187
248;223
249;280
249;245
250;35
250;194
252;241
252;192
252;223
255;255
255;187
255;142
255;266
256;281
256;171
256;72
259;35
259;169
259;284
261;283
261;9
261;75
264;35
264;49
264;169
264;284
265;35
265;100
265;256
268;35
268;149
268;248
268;202
268;265
270;35
270;100
270;265
273;281
273;171
273;232
274;35
274;49
274;184
275;94
275;286
276;255
276;187
276;273
276;223
277;35
277;149
277;248
277;223
279;35
279;100
279;265
280;283
280;27
280;204
283;35
283;220
284;35
284;49
284;184
285;35
285;49
285;184
286;129
286;223
288;145
288;72
291;145
291;223
292;94
292;223
297;94
297;197
298;281
298;171
298;72
299;35
299;149
299;248
299;254
300;35
300;49
300;223
302;35
302;100
302;112
303;35
303;100
303;112
306;35
306;49
